,District,Year,Season,Crop,Area,Production,Productivity,CropLabel,Rainfall,Temperature
0,AMRAVATI,2001,Kharif     ,Bajra,1000,400,0.4,1,0,3
5,AMRAVATI,2002,Kharif     ,Bajra,800,500,0.625,2,1,3
10,AMRAVATI,2003,Kharif     ,Bajra,800,400,0.5,1,1,3
15,AMRAVATI,2004,Kharif     ,Bajra,700,400,0.571428571,2,1,2
19,AMRAVATI,2005,Kharif     ,Bajra,300,100,0.333333333,1,2,4
22,AMRAVATI,2006,Kharif     ,Bajra,200,100,0.5,1,2,2
25,AMRAVATI,2007,Kharif     ,Bajra,2,1,0.5,1,2,3
29,AMRAVATI,2008,Kharif     ,Bajra,300,200,0.666666667,2,1,3
34,AMRAVATI,2009,Kharif     ,Bajra,200,200,1,3,1,3
38,AMRAVATI,2010,Kharif     ,Bajra,300,200,0.666666667,2,2,3
43,AMRAVATI,2011,Kharif     ,Bajra,300,200,0.666666667,2,2,4
48,AMRAVATI,2012,Kharif     ,Bajra,300,200,0.666666667,2,2,4
59,AURANGABAD,2001,Kharif     ,Bajra,137400,86700,0.631004367,2,0,2
64,AURANGABAD,2002,Kharif     ,Bajra,149900,131100,0.874583055,2,0,2
69,AURANGABAD,2003,Kharif     ,Bajra,128700,110200,0.856254856,2,1,2
74,AURANGABAD,2004,Kharif     ,Bajra,128900,107900,0.83708301,2,1,1
79,AURANGABAD,2005,Kharif     ,Bajra,131400,150000,1.141552511,3,1,2
82,AURANGABAD,2006,Kharif     ,Bajra,123100,139400,1.132412673,3,2,1
86,AURANGABAD,2007,Kharif     ,Bajra,1111,1362,1.225922592,3,1,2
91,AURANGABAD,2008,Kharif     ,Bajra,109100,103500,0.948670944,3,1,2
97,AURANGABAD,2009,Kharif     ,Bajra,122400,121800,0.995098039,3,1,1
102,AURANGABAD,2010,Kharif     ,Bajra,89800,126500,1.408685969,4,1,1
107,AURANGABAD,2011,Kharif     ,Bajra,68500,87800,1.281751825,4,1,1
112,AURANGABAD,2012,Kharif     ,Bajra,68500,44500,0.649635036,2,0,2
117,AURANGABAD,2013,Kharif     ,Bajra,31000,38000,1.225806452,3,1,1
122,AURANGABAD,2014,Kharif     ,Bajra,45300,24200,0.534216336,1,0,2
127,LATUR,2001,Kharif     ,Bajra,9500,3100,0.326315789,1,1,2
132,LATUR,2002,Kharif     ,Bajra,9300,5700,0.612903226,2,1,2
137,LATUR,2003,Kharif     ,Bajra,8100,3600,0.444444444,1,1,2
142,LATUR,2004,Kharif     ,Bajra,7400,3900,0.527027027,1,1,2
147,LATUR,2005,Kharif     ,Bajra,6000,3300,0.55,2,2,3
150,LATUR,2006,Kharif     ,Bajra,5900,2400,0.406779661,1,2,2
154,LATUR,2007,Kharif     ,Bajra,56,31,0.553571429,2,1,2
159,LATUR,2008,Kharif     ,Bajra,5000,2300,0.46,1,1,2
165,LATUR,2009,Kharif     ,Bajra,4000,1500,0.375,1,0,2
170,LATUR,2010,Kharif     ,Bajra,4300,2200,0.511627907,1,2,2
175,LATUR,2011,Kharif     ,Bajra,3800,2100,0.552631579,2,1,2
180,LATUR,2012,Kharif     ,Bajra,3800,2700,0.710526316,2,1,2
185,LATUR,2013,Kharif     ,Bajra,2700,1300,0.481481481,1,2,2
190,LATUR,2014,Kharif     ,Bajra,2500,400,0.16,0,0,2
248,NASHIK,2001,Kharif     ,Bajra,324200,179900,0.55490438,2,2,1
253,NASHIK,2002,Kharif     ,Bajra,320300,258500,0.807055885,2,2,2
258,NASHIK,2003,Kharif     ,Bajra,316800,196700,0.620896465,2,1,2
263,NASHIK,2004,Kharif     ,Bajra,315200,244500,0.77569797,2,3,2
268,NASHIK,2005,Kharif     ,Bajra,282900,215900,0.763167197,2,4,2
271,NASHIK,2006,Kharif     ,Bajra,258500,187300,0.724564797,2,4,1
275,NASHIK,2007,Kharif     ,Bajra,2158,2395,1.109823911,3,3,2
280,NASHIK,2008,Kharif     ,Bajra,197900,191000,0.965133906,3,3,2
286,NASHIK,2009,Kharif     ,Bajra,171900,129500,0.753344968,2,1,2
291,NASHIK,2010,Kharif     ,Bajra,171200,216300,1.263434579,4,2,3
296,NASHIK,2011,Kharif     ,Bajra,165900,170100,1.025316456,3,2,3
301,NASHIK,2012,Kharif     ,Bajra,154800,124800,0.80620155,2,2,3
306,NASHIK,2013,Kharif     ,Bajra,149600,167500,1.119652406,3,3,3
311,NASHIK,2014,Kharif     ,Bajra,152700,108900,0.713163065,2,2,4
315,PUNE,2001,Kharif     ,Bajra,113200,85600,0.756183746,2,2,1
320,PUNE,2002,Kharif     ,Bajra,123900,86500,0.698143664,2,2,1
325,PUNE,2003,Kharif     ,Bajra,97000,67600,0.696907216,2,1,1
330,PUNE,2004,Kharif     ,Bajra,116800,84800,0.726027397,2,1,1
335,PUNE,2005,Kharif     ,Bajra,125300,90400,0.721468476,2,3,1
338,PUNE,2006,Kharif     ,Bajra,128900,81300,0.63072149,2,3,0
342,PUNE,2007,Kharif     ,Bajra,1127,982,0.87133984,2,2,1
347,PUNE,2008,Kharif     ,Bajra,34500,27000,0.782608696,2,1,1
353,PUNE,2009,Kharif     ,Bajra,46000,33900,0.736956522,2,1,1
358,PUNE,2010,Kharif     ,Bajra,48600,43000,0.884773663,2,2,1
363,PUNE,2011,Kharif     ,Bajra,50700,40700,0.802761341,2,2,0
