,District,Year,Month,Rainfall,Average Rainfall,Temperature,Average Temperature,Pressure,Average Pressure,Drought Classification
0,Nagpur,2001,January,1,1,6,8,1,1,0
1,Nagpur,2001,February,1,1,6,8,2,2,0
2,Nagpur,2001,March,1,1,5,7,3,3,0
3,Nagpur,2001,April,1,1,3,4,4,4,0
4,Nagpur,2001,May,1,1,2,3,4,5,0
5,Nagpur,2001,June,5,3,1,2,4,4,0
6,Nagpur,2001,July,4,6,2,2,3,3,0
7,Nagpur,2001,August,5,5,2,2,3,3,0
8,Nagpur,2001,September,2,3,2,4,3,3,0
9,Nagpur,2001,October,2,1,4,6,3,3,0
10,Nagpur,2001,November,1,1,6,8,2,2,0
11,Nagpur,2001,December,1,1,6,8,2,1,0
12,Nagpur,2002,January,1,1,6,8,2,1,1
13,Nagpur,2002,February,1,1,5,8,2,2,0
14,Nagpur,2002,March,1,1,5,7,3,3,0
15,Nagpur,2002,April,1,1,3,4,4,4,1
16,Nagpur,2002,May,1,1,2,3,5,5,1
17,Nagpur,2002,June,5,3,1,2,4,4,1
18,Nagpur,2002,July,2,6,1,2,3,3,0
19,Nagpur,2002,August,6,5,2,2,3,3,1
20,Nagpur,2002,September,3,3,2,4,3,3,1
21,Nagpur,2002,October,1,1,5,6,2,3,1
22,Nagpur,2002,November,1,1,6,8,2,2,1
23,Nagpur,2002,December,1,1,6,8,1,1,1
24,Nagpur,2003,January,1,1,6,8,1,1,0
25,Nagpur,2003,February,1,1,5,8,2,2,0
26,Nagpur,2003,March,1,1,5,7,3,3,0
27,Nagpur,2003,April,1,1,3,4,3,4,0
28,Nagpur,2003,May,1,1,2,3,4,5,0
29,Nagpur,2003,June,3,3,1,2,4,4,0
30,Nagpur,2003,July,9,6,2,2,3,3,0
31,Nagpur,2003,August,6,5,2,2,3,3,0
32,Nagpur,2003,September,3,3,3,4,3,3,0
33,Nagpur,2003,October,1,1,4,6,3,3,0
34,Nagpur,2003,November,1,1,6,8,2,2,0
35,Nagpur,2003,December,1,1,6,8,1,1,0
36,Nagpur,2004,January,1,1,5,8,1,1,1
37,Nagpur,2004,February,1,1,5,8,2,2,0
38,Nagpur,2004,March,1,1,6,7,3,3,0
39,Nagpur,2004,April,1,1,3,4,4,4,1
40,Nagpur,2004,May,1,1,1,3,5,5,1
41,Nagpur,2004,June,3,3,1,2,4,4,1
42,Nagpur,2004,July,5,6,1,2,3,3,0
43,Nagpur,2004,August,4,5,2,2,3,3,1
44,Nagpur,2004,September,2,3,3,4,3,3,1
45,Nagpur,2004,October,1,1,5,6,3,3,1
46,Nagpur,2004,November,1,1,5,8,2,2,1
47,Nagpur,2004,December,1,1,6,8,1,1,1
48,Nagpur,2005,January,2,1,5,8,1,1,0
49,Nagpur,2005,February,1,1,5,8,2,2,0
50,Nagpur,2005,March,1,1,5,7,3,3,0
51,Nagpur,2005,April,1,1,3,4,4,4,0
52,Nagpur,2005,May,1,1,2,3,4,5,0
53,Nagpur,2005,June,4,3,2,2,4,4,0
54,Nagpur,2005,July,7,6,2,2,3,3,0
55,Nagpur,2005,August,3,5,2,2,3,3,0
56,Nagpur,2005,September,5,3,3,4,3,3,0
57,Nagpur,2005,October,2,1,4,6,3,3,0
58,Nagpur,2005,November,1,1,6,8,2,2,0
59,Nagpur,2005,December,1,1,6,8,1,1,0
60,Nagpur,2006,January,1,1,6,8,2,1,0
61,Nagpur,2006,February,1,1,6,8,2,2,0
62,Nagpur,2006,March,2,1,4,7,3,3,0
63,Nagpur,2006,April,1,1,3,4,4,4,0
64,Nagpur,2006,May,1,1,1,3,4,5,0
65,Nagpur,2006,June,2,3,2,2,3,4,0
66,Nagpur,2006,July,6,6,2,2,3,3,0
67,Nagpur,2006,August,5,5,1,2,3,3,0
68,Nagpur,2006,September,3,3,3,4,3,3,0
69,Nagpur,2006,October,1,1,5,6,3,3,0
70,Nagpur,2006,November,1,1,5,8,2,2,0
71,Nagpur,2006,December,1,1,6,8,1,1,0
72,Nagpur,2007,January,1,1,6,8,1,1,0
73,Nagpur,2007,February,1,1,5,8,2,2,0
74,Nagpur,2007,March,1,1,5,7,3,3,0
75,Nagpur,2007,April,1,1,3,4,4,4,0
76,Nagpur,2007,May,1,1,3,3,5,5,0
77,Nagpur,2007,June,5,3,2,2,3,4,0
78,Nagpur,2007,July,7,6,2,2,3,3,0
79,Nagpur,2007,August,5,5,2,2,3,3,0
80,Nagpur,2007,September,4,3,2,4,3,3,0
81,Nagpur,2007,October,1,1,5,6,3,3,0
82,Nagpur,2007,November,1,1,5,8,2,2,0
83,Nagpur,2007,December,1,1,6,8,2,1,0
84,Nagpur,2008,January,1,1,6,8,1,1,0
85,Nagpur,2008,February,1,1,6,8,2,2,0
86,Nagpur,2008,March,1,1,5,7,3,3,0
87,Nagpur,2008,April,1,1,3,4,4,4,0
88,Nagpur,2008,May,1,1,2,3,5,5,0
89,Nagpur,2008,June,4,3,2,2,4,4,0
